"","date","value"
"840",2017-12-01,4.1
"841",2018-01-01,4
"842",2018-02-01,4.1
"843",2018-03-01,4
"844",2018-04-01,4
"845",2018-05-01,3.8
"846",2018-06-01,4
"847",2018-07-01,3.8
"848",2018-08-01,3.8
"849",2018-09-01,3.7
"850",2018-10-01,3.8
"851",2018-11-01,3.8
"852",2018-12-01,3.9
"853",2019-01-01,4
"854",2019-02-01,3.8
"855",2019-03-01,3.8
"856",2019-04-01,3.6
"857",2019-05-01,3.6
"858",2019-06-01,3.6
"859",2019-07-01,3.7
"860",2019-08-01,3.7
"861",2019-09-01,3.5
"862",2019-10-01,3.6
"863",2019-11-01,3.6
"864",2019-12-01,3.6
"865",2020-01-01,3.5
"866",2020-02-01,3.5
"867",2020-03-01,4.4
"868",2020-04-01,14.7
"869",2020-05-01,13.2
"870",2020-06-01,11
"871",2020-07-01,10.2
"872",2020-08-01,8.4
"873",2020-09-01,7.9
"874",2020-10-01,6.9
"875",2020-11-01,6.7
"876",2020-12-01,6.7
"877",2021-01-01,6.4
"878",2021-02-01,6.2
"879",2021-03-01,6
"880",2021-04-01,6
"881",2021-05-01,5.8
"882",2021-06-01,5.9
"883",2021-07-01,5.4
"884",2021-08-01,5.2
"885",2021-09-01,4.7
"886",2021-10-01,4.6
"887",2021-11-01,4.2
"888",2021-12-01,3.9
"889",2022-01-01,4
"890",2022-02-01,3.8
"891",2022-03-01,3.6
